item_id;vectors
10;-0.14889777|0.26284248|-0.43984455|0.9057338|0.1689621|0.40374377|0.66108066|0.13236223|-0.65476644|-0.38118386|0.026016828|-0.39210287|-0.49806392|0.09021592|0.021544755|-0.45489192|-0.5586023|-0.88650155|0.11747241|0.27115703|0.9057177|0.19274625|-0.18865296|0.27692303|-0.04397659|0.84476674|-0.15718178|-0.27290845|0.179205|0.28909618|-0.2577843|-0.35919484|-0.11447546|-0.30750388|0.11957972|0.12708569|0.38568276|0.002123922|-0.50144714|-0.4071318|-0.37475035|0.15760297|-0.35624516|0.5623466|-0.31473976|-0.75304514|0.17141438|0.27416128|-0.17844293|0.90687835|0.031541795|0.18011856|0.0011706352|-0.011525035|-0.44741485|0.4241499|0.63303965|0.5730555|0.020646796|0.017877623|0.4568317|0.2041499|-0.7082273|0.53474534|0.1434855|0.23090748|0.413252|0.5048132|0.010280877|0.5530705|-0.6740606|-0.48579532|-1.0753062|-1.1352973|0.1892903|-0.29821718|0.27911794|-0.046129867|0.33297098|0.2606269|-0.73808134|0.34171325|-0.49963766|-0.12929715|0.38337556|0.18176727|0.08626644|0.8250891|-0.035621792|0.18741389|-0.4085433|-0.11209837|0.05612877|-0.038312346|0.012245655|0.6609937|-0.19924256|-0.083950326|-0.7040795|-0.27281392
11;-0.5136483|0.19427742|0.77746415|0.54147106|0.37558854|0.41369447|0.8229724|-0.78271264|-0.6730005|-0.38379097|-0.63774973|-1.079263|0.050224543|-0.12346527|0.046752945|0.30662253|-0.21380429|-0.5223741|-0.31936777|-0.107135385|-0.6176546|0.28919438|0.73432386|0.047132656|0.6280204|0.4246202|0.34695622|0.31854868|0.8177018|0.033356115|-0.4223921|-0.30184644|0.018631369|0.34504715|-0.018378854|0.8540962|-0.41186023|0.0020994842|0.23598787|-0.4042357|-0.8375052|0.293442|-0.76072997|0.17178336|-0.0019164681|-1.1922985|-0.593511|1.1593294|-0.6466695|0.34372655|0.4606986|0.02417308|0.04597497|0.4373411|-0.24693555|0.4683956|0.247035|-0.10428407|-0.35148874|-0.09079254|0.5465038|0.11793269|-0.44750315|0.031174183|-0.04123965|0.19545174|-0.490663|-0.44776258|1.2576147|0.36088896|-0.21341911|-0.10098061|-0.95812017|-1.2035412|0.11734475|-0.026261896|0.24055536|-0.30964506|0.003538698|0.3532468|-0.25148746|0.5423663|-0.30859345|0.40182722|1.2145333|0.22618046|0.21871899|-0.29870903|-0.2811536|-0.110456645|0.3705179|-0.62496895|-0.32274812|-0.4445193|-0.92959833|0.50617844|0.14211494|-0.37109375|-0.2920044|0.95928997
12;0.21379866|0.18293579|0.27546355|0.28427622|0.05778759|0.60627586|0.14631829|0.30558664|0.004649192|0.58110297|0.15174364|-0.252385|-0.62358963|-0.048172623|0.029920414|-0.3341177|-0.49932832|-0.2543301|-0.87438047|0.13647982|-0.36335027|0.18971969|0.7845434|0.19823465|-0.8490708|0.902491|0.24394281|0.6505195|0.10430601|0.23854625|-0.42266056|-0.06177123|-0.017387986|0.3403076|0.8286897|0.057786256|-0.09209776|0.2761416|-0.19052005|-0.5584253|-0.04669121|0.20424542|-0.56421983|0.6132189|0.4128109|-0.30129355|0.05800894|0.8096319|-0.22590163|-0.12185195|0.04349324|-0.10119897|-0.025723636|0.3207738|-0.9039844|0.54863364|0.7332739|-0.6402217|-0.17020068|0.30251864|0.5547828|0.67874706|-0.5097989|0.09211448|0.2655888|0.657364|0.05254814|-0.81511223|0.32159445|1.4329594|0.23820302|-0.34939098|-0.99483716|-0.641597|1.0279304|-0.58648354|0.3030836|0.04712002|0.35192946|-0.01717475|-1.0076485|0.25109243|0.18636857|-0.23839462|0.7802036|0.64786994|0.14404395|0.2851246|-0.12786692|0.14531812|0.3223974|-0.031821176|-0.5158694|-0.6969087|-1.1143866|0.76905316|-0.37662077|0.090038955|-0.5712962|-0.043866053
13;-0.5224116|0.427003|0.42042065|0.0141738355|0.15827233|-0.10865101|-0.36763892|-0.035483927|-0.5118376|0.16747375|0.06497563|-0.5313099|0.33603457|0.8762373|0.057464898|-0.027034294|0.09265214|-0.8169902|0.2854147|0.6427642|0.094157614|-0.25958094|1.0315031|-0.37279984|-0.31614515|0.93015593|-0.26618204|0.40239277|0.67258257|0.17207676|-0.5151634|-0.36261925|-0.35773882|0.41991848|0.42816263|0.48950118|0.0115584135|0.6930708|0.17954825|-0.4292307|-0.43962133|-0.15506507|-0.69535303|-0.059922747|0.14280707|-0.024359345|-0.49827403|0.8195293|-0.11620837|1.0919762|0.7162031|0.518681|0.61988616|1.1666095|-0.3488569|0.59988797|0.90459216|-0.4897112|0.22804372|0.17465468|0.49765885|-0.032069117|-0.57197064|0.8925694|-0.29651964|-0.1294692|0.23057413|-1.0146853|0.42087114|0.10963452|-0.8133408|-0.4524923|-0.8528009|-0.53207093|0.38760906|-0.103030115|0.42801833|-0.6706652|0.24501912|0.335224|0.21945226|0.1317079|0.14596039|0.34764403|0.63191336|0.66851395|-0.2640838|0.15051088|0.43365404|0.86535025|0.17412919|-1.3069229|0.036165297|-0.7098063|-0.46740395|0.06226498|-0.090337574|-1.1701139|-0.6111522|0.17543212
14;-0.741986|0.79451376|0.25923243|0.84082806|0.6076296|-0.09178859|0.40123793|-0.612885|-0.72765625|0.17708623|-0.3193076|-0.8104456|-0.46034712|0.09683007|0.2510462|0.2251651|-1.0241123|-0.041389465|-0.26605883|-0.60506356|-0.27134413|0.54658496|0.034074485|0.6561037|0.11534871|1.0210527|0.19045272|-0.017266989|1.0906717|0.21435314|-0.1737424|0.054007977|0.07546276|-0.16694324|0.33641806|0.37402225|0.3156974|0.13300991|0.020889573|-0.61230576|-0.7104277|0.0710161|-0.6156307|0.3426166|-0.26581013|-0.7868198|-0.52179694|0.86527634|-0.6575114|0.604912|0.43515444|0.19253522|0.14979598|0.13710046|-0.63381696|0.78330886|0.40927848|0.12514287|0.07496761|-0.02799669|0.16486497|0.91216344|-0.0928027|0.44667274|-0.52464247|0.71590126|-0.14445807|0.16466418|-0.04215905|0.95825756|-0.47509044|-0.14154637|-1.0418954|-0.55724853|-0.37152869|-0.5380967|-0.88606954|-0.22983414|0.361633|0.7944608|-0.8968296|0.02151817|-0.9985312|0.78174067|0.91979194|0.6112817|-0.13495417|-0.5929354|0.3899292|-0.020540655|-0.18652806|-0.32571837|0.45111617|0.25873697|0.122677624|0.07796317|-0.7854703|-0.37490898|-1.1024727|0.044117868
15;-0.9285861|0.03432104|0.45422608|0.40827858|-0.4000057|0.75795674|0.19804232|-0.22300935|-0.4736188|0.080148704|-0.5287772|-0.2798627|-1.091228|0.2333456|-0.22078331|-0.3596345|-0.5621346|-0.38410136|-0.16062906|-0.05313766|0.45920497|0.37093908|0.52456367|-0.08360988|-0.3703763|0.8765751|-0.2223017|0.407737|-0.45894498|0.39458677|-0.13785607|0.02398856|-0.53235924|-0.34323692|0.46472192|0.8180325|0.26146865|-0.05420512|0.041075163|0.0036670566|0.08673068|-0.008754261|-0.4385249|-0.23922302|0.11956585|-0.26797083|-0.2752614|0.6587652|-0.090056494|0.6066032|0.41521576|0.34773448|0.23450676|0.6541817|-0.34393138|0.31721404|0.6009389|-0.003563881|-0.0074843317|0.08365357|-0.37653667|0.24060956|-0.24706772|0.8501936|-0.3493513|0.16401596|0.21631086|-0.58919483|0.4360869|0.37886834|-0.3685074|-0.023521904|-0.71051544|-0.32019985|0.32797745|0.018042833|0.022899128|-0.19705209|0.1762127|0.67765796|-1.0144364|-0.06711891|0.096132815|-0.03254904|0.7513052|-0.11785193|-0.14562167|0.21697463|0.32430503|0.09423724|-0.36111662|-0.456416|0.33702663|-0.123247445|-0.8434988|0.1610384|0.25712734|-0.45656237|-0.15316531|0.4450909
16;-0.73584|-0.08467126|0.5402246|0.2408609|0.032454975|0.19857158|0.33423233|0.040522277|-0.77948284|0.48546836|0.5094175|-0.2900679|-0.09542006|0.28954005|0.17405203|0.12269773|-0.5631061|0.11767951|-0.15203351|0.37965196|0.016385272|0.5140271|0.6055378|0.20849288|-0.48287046|0.7845866|-0.11523843|0.270524|0.15115815|-0.16380364|-0.6122663|-0.2630173|-0.38532507|0.061255306|0.4087373|0.57076675|0.5865452|-0.030791342|0.14856464|-0.41222128|-0.5398968|-0.21203564|-0.36848658|0.49069583|0.28347608|-0.41679317|-0.13413009|0.36386028|-0.2859831|0.2543124|0.29449394|0.1937454|0.49803844|0.6183537|-0.39258423|0.4913409|0.31782654|-0.14456655|0.16015725|0.15303859|0.2402241|0.18692899|-0.5162413|0.52222556|0.16032542|-0.29590327|-0.12704338|-0.26201403|0.26781753|0.46692336|-0.20542532|-0.01915403|-1.1523759|-1.3517995|0.6774197|-0.43455476|0.0901531|0.1614901|0.027724847|0.5737211|-0.3944376|0.33601213|-0.5788412|-0.033802964|0.27924332|0.26819152|0.52575606|0.6756096|0.16379237|0.39157742|-0.2978888|0.11511056|-0.6582104|-0.22375405|-0.28962|0.07101092|-0.33344996|-0.39599043|-0.52156615|-0.109148964
17;-0.020006038|0.26900056|0.38466603|0.52722687|0.08294228|0.39754924|0.23055002|0.00070136786|-0.4196317|-0.18041134|0.4654141|-0.5882356|-0.77915144|0.5063097|0.3751945|-0.18350324|0.044406354|-0.35514703|0.073271066|0.4503024|0.56588453|-0.19811633|0.06996375|0.6255886|0.27276248|0.2823308|-0.52943724|0.49694967|-0.15783155|0.6924398|-0.16480255|-0.16454881|-0.6582341|0.20193757|0.2233289|0.4783232|0.30156234|0.4678314|-0.23469311|-0.23147309|-0.039580137|-0.057677433|-0.15546212|-0.29214868|0.008498102|-0.25241882|0.039079785|0.098786324|-0.009497758|0.496075|0.5108634|0.6521339|0.39396536|0.54273313|-0.7664187|0.05127108|0.78915644|0.15042397|-0.4314682|0.33999553|0.4612103|0.44477567|-0.50638056|0.07363851|-0.33468235|0.20046261|0.43022442|-0.6340699|0.5782631|0.99966836|-0.4004127|-0.11754107|-0.83649445|-0.8058395|0.5054942|-0.24916802|-0.31153256|-0.30856553|0.12317477|0.57015175|-0.65293217|0.0010788888|-0.23741737|-0.3231427|0.26554897|-0.1628591|0.34971452|0.7205133|0.5905412|0.24567221|-0.14826022|0.06872104|-0.49828824|-0.44563892|-0.13395807|0.36551607|0.4113598|-0.0813721|0.10761124|-0.2619127
18;-0.13110553|0.19793092|0.7277836|-0.20819733|0.26183006|-0.015877575|1.2064222|-0.30002952|-0.031469256|-0.016064584|0.34289944|-0.07107234|-0.3140344|0.59831256|-0.31520998|0.32484525|-0.4243586|-0.21160364|-0.3319062|0.4830283|-0.094844475|0.9149946|0.60186636|-0.122326344|-0.41041553|0.9347129|0.021348026|0.34440437|0.4223672|0.08279618|-0.5132271|-0.5253769|-1.0284966|0.26712155|0.15906452|1.2135864|0.07573947|-0.098424196|0.2647825|-0.7164333|-0.2759454|0.0039849803|-0.7524388|-0.040131517|-0.15576114|0.077956915|-0.5752035|0.8702322|0.15554589|0.26393872|0.6781305|0.013976574|0.30919173|0.7404884|-0.0271146|0.23968604|0.8888864|0.6410493|-0.4402483|0.52975297|0.23579189|0.081751436|-0.65586543|-0.38346127|0.54713184|0.69613636|0.13245869|-0.52683276|0.54081357|0.37333447|-0.33572772|-0.5323482|-0.80821794|-0.63585085|0.5664343|-0.74345624|-0.17147547|-0.5145486|0.81134963|0.3590652|-1.1062375|-0.22692627|-0.41310704|0.0035265684|0.6689612|0.08719153|0.19279408|0.6554331|0.19774689|0.38772374|0.6644993|0.12395741|-0.27366915|-0.5347611|-0.7613701|0.39916804|-0.5960351|-0.03207594|-0.7418597|0.7456531
19;-0.6314536|0.2368384|0.43292314|0.8231089|0.29142025|0.8416581|0.5785388|-0.08096852|-0.5468949|0.14283894|-0.38269553|-0.60958385|-0.4912877|0.75958514|0.19280192|-0.10081056|0.1262863|-0.13256514|-0.5837617|-0.17091775|-0.12646414|0.45640802|0.17031728|0.041964576|-0.47279084|0.3572811|-0.37621325|-0.3605163|1.1233462|-0.26796585|-0.4179328|-0.010468408|-0.35817346|0.40780813|0.45510688|0.80261695|0.22502689|0.061911553|0.013003841|0.31570956|-0.08574504|0.17058459|-0.22386786|0.019948056|-0.21062241|-0.29395556|-0.5532457|0.9206996|-0.047757585|0.2508337|-0.08211729|0.06083736|0.6306393|0.7933851|-0.69832325|0.14026234|0.782801|0.08940833|-0.34261057|0.34098637|0.34967694|1.0004866|-0.044811577|-0.21614674|-0.5551005|0.43485403|0.17203751|-0.79398596|0.4133929|0.86699605|-0.274662|0.32853764|-0.56991506|0.032396257|0.64539486|-0.38817322|-0.7040385|-0.7146044|0.09853265|0.27125317|-0.65647167|-0.095413476|0.13914013|-0.02808676|1.2533127|0.24050048|0.1456854|-0.15653904|0.55823755|0.4047488|-0.25767517|-0.116854206|-0.3187763|-0.2339448|-0.74741465|-0.29103416|-0.11308634|-0.47508097|-0.21191144|0.4850512
20;-0.10495424|-0.099481374|0.7343335|-0.07312733|0.39404625|0.88479984|-0.2405344|-0.251715|-0.0630337|0.5092092|0.31633642|-0.8259454|-0.10843748|-0.19476977|0.21177094|-0.21359089|-0.19373655|-0.024820566|-0.24657975|0.37688547|0.6311042|1.1219555|0.5421482|0.0488365|-0.3316369|0.32797006|0.0013528056|0.37305206|0.4721345|0.22586532|-0.0043114126|-0.77040315|-0.36376107|0.09327376|0.31545094|1.0068395|0.06812158|0.50285274|0.022202782|0.31290993|-0.4812522|-0.05296944|-0.62365556|-0.2263494|0.0035898387|-0.37133077|-0.49008328|0.40088552|0.65024686|0.11399242|0.5307552|0.12365593|0.030407012|0.7408212|-0.47434464|0.44597608|1.0431352|-0.3521489|-0.7574615|0.583296|-0.084509194|0.911203|-0.52604204|0.09570621|-0.02350472|0.14780706|-0.10736717|0.027645916|0.135713|0.64480597|-0.16742077|0.2502463|-1.1328783|-0.286479|0.4863407|-0.45568228|-0.3207649|-0.12275595|-0.01807183|0.09120554|-0.61503416|-0.0049373955|-0.036304507|-0.007991951|0.54167145|0.089542545|0.40516526|0.6799787|0.4291669|0.5668354|-0.09402044|0.085696295|-0.5904493|-0.6376323|-0.9993175|-0.3719898|0.26488137|-0.7810761|-0.27618554|0.6975417
